ProductName,UnitsInStock,CompanyName,Country
Chang,17,"Exotic Liquids",UK
"Aniseed Syrup",13,"Exotic Liquids",UK
"Genen Shouyu",39,Mayumi's,Japan
"Sasquatch Ale",111,"Bigfoot Breweries",USA
"Steeleye Stout",20,"Bigfoot Breweries",USA
"Côte de Blaye",17,"Aux joyeux ecclésiastiques",France
"Chartreuse verte",69,"Aux joyeux ecclésiastiques",France
"Sirop d'érable",113,"Forêts dérables",Canada
"Louisiana Fiery Hot Pepper Sauce",76,"New Orleans Cajun Delights",USA
"Laughing Lumberjack Lager",52,"Bigfoot Breweries",USA
"Outback Lager",15,"Pavlova Ltd.",Australia
"Rhönbräu Klosterbier",125,"Plutzer Lebensmittelgroßmärkte AG",Germany
