CompanyName,ShipName,"Value of all orders"
"Centro comercial Moctezuma","Centro comercial Moctezuma",80.00
"Centro comercial Moctezuma","Centro comercial Moctezuma",20.80
"Tortuga Restaurante","Tortuga Restaurante",372.00
"Tortuga Restaurante","Tortuga Restaurante",48.00
"Tortuga Restaurante","Tortuga Restaurante",600.00
"Tortuga Restaurante","Tortuga Restaurante",36.00
"Tortuga Restaurante","Tortuga Restaurante",175.50
"Tortuga Restaurante","Tortuga Restaurante",37.20
"Tortuga Restaurante","Tortuga Restaurante",480.00
"Tortuga Restaurante","Tortuga Restaurante",440.00
"Tortuga Restaurante","Tortuga Restaurante",34.40
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",28.80
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",60.00
"Tortuga Restaurante","Tortuga Restaurante",249.60
"Tortuga Restaurante","Tortuga Restaurante",509.60
"Tortuga Restaurante","Tortuga Restaurante",432.00
"Pericles Comidas clásicas","Pericles Comidas clásicas",112.00
"Pericles Comidas clásicas","Pericles Comidas clásicas",172.80
"Pericles Comidas clásicas","Pericles Comidas clásicas",396.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",403.20
"Pericles Comidas clásicas","Pericles Comidas clásicas",223.20
"Pericles Comidas clásicas","Pericles Comidas clásicas",655.20
"Pericles Comidas clásicas","Pericles Comidas clásicas",308.70
"Pericles Comidas clásicas","Pericles Comidas clásicas",62.00
"Pericles Comidas clásicas","Pericles Comidas clásicas",199.50
"Pericles Comidas clásicas","Pericles Comidas clásicas",196.80
"Pericles Comidas clásicas","Pericles Comidas clásicas",420.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",586.50
"Antonio Moreno Taqueria","Antonio Moreno Taquería",162.56
"Tortuga Restaurante","Tortuga Restaurante",22.50
"Tortuga Restaurante","Tortuga Restaurante",3952.50
"Tortuga Restaurante","Tortuga Restaurante",175.05
"Antonio Moreno Taqueria","Antonio Moreno Taquería",945.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",165.60
"Antonio Moreno Taqueria","Antonio Moreno Taquería",87.75
"Antonio Moreno Taqueria","Antonio Moreno Taquería",742.50
"Antonio Moreno Taqueria","Antonio Moreno Taquería",702.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",560.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",820.00
"Tortuga Restaurante","Tortuga Restaurante",180.00
"Tortuga Restaurante","Tortuga Restaurante",250.00
"Tortuga Restaurante","Tortuga Restaurante",408.45
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",69.75
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",70.00
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",340.00
"Tortuga Restaurante","Tortuga Restaurante",62.00
"Tortuga Restaurante","Tortuga Restaurante",64.40
"Tortuga Restaurante","Tortuga Restaurante",408.45
"Antonio Moreno Taqueria","Antonio Moreno Taquería",796.36
"Antonio Moreno Taqueria","Antonio Moreno Taquería",17.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",75.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",68.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",232.50
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",320.00
"Tortuga Restaurante","Tortuga Restaurante",315.00
"Tortuga Restaurante","Tortuga Restaurante",230.00
"Tortuga Restaurante","Tortuga Restaurante",250.00
"Tortuga Restaurante","Tortuga Restaurante",180.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",380.00
"Antonio Moreno Taqueria","Antonio Moreno Taquería",280.00
"Tortuga Restaurante","Tortuga Restaurante",390.00
"Tortuga Restaurante","Tortuga Restaurante",75.00
"Tortuga Restaurante","Tortuga Restaurante",74.50
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",42.00
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",60.00
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",64.40
"Ana Trujillo Emparedados y helados","Ana Trujillo Emparedados y helados",348.00
"Pericles Comidas clásicas","Pericles Comidas clásicas",1060.00
"Pericles Comidas clásicas","Pericles Comidas clásicas",136.00
"Tortuga Restaurante","Tortuga Restaurante",360.00
"Pericles Comidas clásicas","Pericles Comidas clásicas",210.00
"Pericles Comidas clásicas","Pericles Comidas clásicas",90.00
